AnimalID,Name_Provided,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,ColorOriginal,BreedOriginal,percent,SexKnown,CatOrDog,AgeIntake_bins,SickOrInjured
A813769,Yes,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1095,Mixed Breed,Dark,2020-02-19 12:04:00,2017-02-18 00:00:00,Intact Male,1096,0.0,Brown/White,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813768,Yes,2020-02-18 13:19:00,Austin (TX),Owner Surrender,Normal,Other,Intact Male,365,Pure Breed,Light,2020-02-21 17:40:00,2019-02-18 00:00:00,Intact Male,368,0.0,White/Chocolate,Rabbit Sh,0.11655011655011654,1,0,"(155.0, 365.0]",0
A813767,Yes,2020-02-18 13:19:00,Austin (TX),Owner Surrender,Normal,Other,Intact Male,365,Pure Breed,Light,2020-03-05 16:04:00,2019-02-18 00:00:00,Intact Male,381,0.0,White/Chocolate,Californian,0.11655011655011654,1,0,"(155.0, 365.0]",0
A813766,Yes,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1095,Mixed Breed,Dark,2020-02-19 12:04:00,2017-02-18 00:00:00,Intact Male,1096,0.0,Black/Tricolor,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813765,Yes,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1095,Mixed Breed,Light,2020-02-19 12:04:00,2017-02-18 00:00:00,Intact Male,1096,0.0,Tan/White,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813764,Yes,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1095,Mixed Breed,Light,2020-02-19 12:03:00,2017-02-18 00:00:00,Intact Male,1096,0.0,Tricolor,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813763,Yes,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1095,Mixed Breed,Light,2020-02-20 16:09:00,2017-02-18 00:00:00,Spayed Female,1097,0.0,Tan/White,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813762,Yes,2020-02-18 12:39:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1095,Mixed Breed,Dark,2020-02-19 12:04:00,2017-02-18 00:00:00,Intact Female,1096,0.0,Brown/White,Chihuahua Shorthair Mix,0.11655011655011654,1,1,"(731.0, 1095.0]",0
A813761,Yes,2020-02-18 13:14:00,Austin (TX),Stray,Injured,Cat,Intact Female,92,Pure Breed,Light,2020-02-22 16:26:00,2019-11-18 00:00:00,Spayed Female,96,0.0,Orange,Domestic Shorthair,0.7042253521126761,1,1,"(76.0, 155.0]",1
A813760,Yes,2020-02-18 12:49:00,Austin (TX),Stray,Normal,Dog,Intact Male,365,Pure Breed,Dark,2020-02-25 11:40:00,2019-02-18 00:00:00,Neutered Male,372,0.0,Brown/White,Labrador Retriever,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813757,No,2020-02-18 12:26:00,Austin (TX),Stray,Normal,Dog,Intact Female,365,Pure Breed,Dark,2020-02-20 13:05:00,2019-02-18 00:00:00,Intact Female,367,0.0,Black/Tricolor,German Shepherd/Australian Cattle Dog,0.11655011655011654,1,1,"(155.0, 365.0]",0
A813756,Yes,2020-02-18 12:23:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,3652,Pure Breed,Light,2020-02-22 11:15:00,2010-02-18 00:00:00,Neutered Male,3656,0.0,Flame Point,Domestic Shorthair,0.11655011655011654,1,1,"(1654.2, 5478.0]",0
A813754,No,2020-02-18 12:08:00,Austin (TX),Stray,Normal,Dog,Intact Male,77,Pure Breed,Dark,2020-02-22 15:08:00,2019-12-03 00:00:00,Neutered Male,81,0.0,Chocolate/Tan,Doberman Pinsch,0.11655011655011654,1,1,"(76.0, 155.0]",0
A813753,No,2020-02-18 12:00:00,Travis (TX),Owner Surrender,Sick,Cat,Intact Male,62,Pure Breed,Light,2020-02-21 17:40:00,2019-12-18 00:00:00,Intact Male,65,1.0,Orange,Domestic Shorthair,0.7042253521126761,1,1,"(50.4, 76.0]",1
A813752,Yes,2020-02-18 11:45:00,Austin (TX),Stray,Normal,Dog,Intact Male,92,Pure Breed,Light,2020-03-06 16:49:00,2019-11-18 00:00:00,Neutered Male,109,0.0,White,Dogo Argentino/Boxer,0.11655011655011654,1,1,"(76.0, 155.0]",0
A813750,Yes,2020-02-18 11:13:00,Austin (TX),Stray,Normal,Dog,Intact Male,730,Mixed Breed,Light,2020-02-18 17:24:00,2018-02-18 00:00:00,Intact Male,730,0.0,Tan,Labrador Retriever Mix,0.11655011655011654,1,1,"(366.0, 730.0]",0
